year,ic,value,donor_type,description,companyId,company,date,addrStreet,addrCity,addrZip
2020,00442704,0.0,PO,dar,18565816,Tělocvičná jednota Sokol Šlapanice u Brna,2020-08-06,,,
2020,00442704,0.0,PO,dar,69171149,Tělocvičná jednota Sokol Živanice,2020-08-17,,,
2020,00442704,0.0,PO,dar,46493719,Tělovýchovná jednota SOKOL Újezd z.s.,2020-09-04,,,
2020,00442704,0.0,PO,dar,7814453,Tenisový klub Sokol Lipník nad Bečvou z. s.,2020-09-03,,,
2020,00442704,0.0,PO,dar,27547817,TENIX s.r.o.,2020-09-04,,,
2020,00442704,0.0,PO,dar,27547817,TENIX s.r.o.,2020-08-17,,,
2020,00442704,0.0,PO,dar,27977137,TIME INVEST a.s.,2020-08-17,,,
2020,00442704,0.0,PO,dar,47253363,TJ BLATNÁ z.s.,2020-09-01,,,
2020,00442704,0.0,PO,dar,60653001,"TJ Osek, z.s.",2020-09-01,,,
2020,00442704,0.0,PO,dar,15051854,TJ SK Tetov z.s.,2020-09-04,,,
2020,00442704,0.0,PO,dar,46492691,TJ Sokol Semín z.s.,2020-09-04,,,
2020,00442704,200000.0,PO,dar,1810740,"TOMA Olomouc, s.r.o.",2020-07-17,,,
2020,00442704,50000.0,PO,dar,45612595,Tomáš Máčal,2020-09-21,,,
2020,00442704,50000.0,PO,dar,45612595,Tomáš Máčal,2020-09-25,,,
2020,00442704,20000.0,PO,dar,71339728,TOP 09,2020-10-30,,,
2020,00442704,0.0,PO,dar,71339728,TOP 09,2020-09-01,,,
2020,00442704,0.0,PO,dar,71339728,TOP 09,2020-08-06,,,
2020,00442704,50000.0,PO,dar,25307835,TRINITY BANK a.s.,2020-09-23,,,
2020,00442704,0.0,PO,dar,25353284,TRUMF International s.r.o.,2020-09-01,,,
2020,00442704,20000.0,PO,dar,4930169,Účetní Pardubice s.r.o.,2020-08-12,,,
2020,00442704,0.0,PO,dar,13643819,VÁHALA a spol. s r.o. výroba a prodej masných a lahůdkářských výrobků,2020-08-01,,,
2020,00442704,0.0,PO,dar,72283661,Varmuže Bedřich,2020-09-01,,,
2020,00442704,0.0,PO,dar,7266693,VEGANEK SPICES s.r.o.,2020-09-01,,,
2020,00442704,0.0,PO,dar,25595946,VESAS s.r.o.,2020-08-01,,,
2020,00442704,10000.0,PO,dar,6834060,VilAnzen Group s.r.o.,2020-10-07,,,
2020,00442704,200000.0,PO,dar,26845148,VINAMET CZ s.r.o.,2020-10-05,,,
2020,00442704,50000.0,PO,dar,69750289,Viorel Birca,2020-09-30,,,
2020,00442704,0.0,PO,dar,72274760,Vlastimil Stříbrný,2020-09-01,,,
2020,00442704,100000.0,PO,dar,68210396,Volba pro město,2020-06-15,,,
2020,00442704,15000.0,PO,dar,29377731,WEB INVESTMENTS s.r.o.,2020-04-06,,,
2020,00442704,0.0,PO,dar,69132631,Zdeněk Pytel,2020-09-04,,,
2020,00442704,0.0,PO,dar,124851,"Zderaz, zemědělské družstvo",2020-09-04,,,
2020,00442704,0.0,PO,dar,25212257,"Zemědělská výroba Milknatur, a.s.",2020-09-01,,,
2020,00442704,0.0,PO,dar,47719532,Zemědělské družstvo vlastníků Štichovice,2020-09-01,,,
